project,has_src,has_test,has_kotodama,has_readme,has_claude
etzhayyim-project-linkedin,False,False,False,False,False
etzhayyim-project-live,True,True,False,False,False
etzhayyim-project-livecam,False,False,False,False,False
etzhayyim-project-llm,True,False,True,False,True
etzhayyim-project-lo,True,False,True,False,False
etzhayyim-project-loading-robot,False,False,False,False,False
etzhayyim-project-loan,False,False,False,False,False
etzhayyim-project-location,False,False,False,False,False
etzhayyim-project-ma,False,False,False,True,False
etzhayyim-project-mailer,True,False,True,False,True
etzhayyim-project-malak,True,False,True,True,True
etzhayyim-project-mamoru-m4m0ru01,True,False,True,False,True
etzhayyim-project-managon,True,False,True,False,True
etzhayyim-project-manako,True,False,False,False,True
etzhayyim-project-manga,True,True,False,False,False
etzhayyim-project-mangaka,True,False,True,False,True
etzhayyim-project-manimani,True,True,True,False,True
etzhayyim-project-maps,True,False,True,False,True
etzhayyim-project-maps-collection,False,False,False,False,True
etzhayyim-project-market,True,False,True,False,True
etzhayyim-project-marketer,True,False,True,True,False
etzhayyim-project-media-anime,False,False,False,False,False
etzhayyim-project-media-gamers,True,True,True,False,True
etzhayyim-project-meet,True,True,True,False,False
etzhayyim-project-meeting-recorder,True,True,True,False,False
etzhayyim-project-mehikari,True,False,True,True,True
etzhayyim-project-menkyo,False,False,False,False,False
etzhayyim-project-messenger,True,True,False,False,False
etzhayyim-project-microsoft,True,False,True,True,True
etzhayyim-project-microsoft-graph,False,False,False,False,False
etzhayyim-project-mime-pptx,False,False,False,False,False
etzhayyim-project-mime-xls,False,False,False,False,False
etzhayyim-project-mine,False,False,False,False,False
etzhayyim-project-minpaku,True,True,True,False,True
etzhayyim-project-moderator,False,False,False,False,True
etzhayyim-project-mold-allergy,True,False,True,False,True
etzhayyim-project-monitor,False,False,False,False,False
etzhayyim-project-murakumo,False,False,False,True,True
etzhayyim-project-music,False,False,False,False,False
etzhayyim-project-naphtha-supply,False,False,False,False,True
etzhayyim-project-narou,True,True,True,True,True
etzhayyim-project-natural-person,True,False,True,False,True
etzhayyim-project-ndc,True,True,False,False,True
etzhayyim-project-network-intel,False,False,False,False,False
etzhayyim-project-network-mobile,False,False,False,False,False
etzhayyim-project-news,True,True,True,False,True
etzhayyim-project-newsletter,True,True,True,False,True
etzhayyim-project-nijisousaku,False,False,False,False,False
etzhayyim-project-nimotsu,False,False,False,False,False
etzhayyim-project-ninso,False,False,False,False,True
etzhayyim-project-nirin,False,False,False,False,False
etzhayyim-project-nist,True,False,True,False,True
etzhayyim-project-nougyou,False,False,False,False,False
etzhayyim-project-npo,False,False,False,False,False
etzhayyim-project-obebe,False,False,False,False,True
etzhayyim-project-ocel,True,True,False,False,True
etzhayyim-project-ohanashi,False,False,False,False,False
etzhayyim-project-okaimono,True,True,True,True,True
etzhayyim-project-omatsuri,False,False,False,False,True
etzhayyim-project-omikuji,True,False,True,False,False
etzhayyim-project-omise,True,True,True,True,True
etzhayyim-project-ongakuka,True,False,True,False,True
etzhayyim-project-onion,True,False,True,False,True
etzhayyim-project-open-airplane,True,True,True,False,True
etzhayyim-project-open-apqc,True,False,False,True,True
etzhayyim-project-open-banking,True,True,True,False,True
etzhayyim-project-open-cofog,True,True,True,True,True
etzhayyim-project-open-denki,True,True,True,False,True
etzhayyim-project-open-gas,True,True,True,False,True
etzhayyim-project-open-isco,True,False,False,False,True
etzhayyim-project-open-isic,True,False,False,True,True
etzhayyim-project-open-jpn-gov,True,True,True,False,True
etzhayyim-project-open-jpn-mynumber,True,True,True,False,True
etzhayyim-project-open-kyber,True,True,True,True,True
etzhayyim-project-open-network,True,True,True,False,True
etzhayyim-project-open-ossekai,True,True,True,False,False
etzhayyim-project-open-ot,True,False,False,True,True
etzhayyim-project-open-patent,True,True,False,False,True
etzhayyim-project-open-ports,True,True,True,False,True
etzhayyim-project-open-power,True,True,True,False,True
etzhayyim-project-open-rail,True,True,True,False,True
etzhayyim-project-open-robo,True,True,True,False,True
etzhayyim-project-open-saas,True,False,True,True,False
etzhayyim-project-open-sanctions,False,False,False,True,True
etzhayyim-project-open-seiyaku,False,False,False,True,True
etzhayyim-project-open-swift,True,True,True,False,True
etzhayyim-project-open-unispsc,True,False,False,False,True
etzhayyim-project-open-water,True,True,True,False,True
etzhayyim-project-open-wellbecoming,False,False,False,True,True
etzhayyim-project-ops,True,True,True,False,True
etzhayyim-project-organizer,True,False,True,False,True
etzhayyim-project-oryori,False,False,False,False,False
etzhayyim-project-os,True,False,True,False,True
