id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664654,2022-01-11,000001,Vente,1250000,8,,RUE DE QUATREFAGES,7911,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0107,,,12,104.18,,,,,,,,,1,2,Appartement,101,5,,,,,,2.354666,48.84292
2022-1664654,2022-01-11,000001,Vente,1250000,8,,RUE DE QUATREFAGES,7911,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0107,,,44,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354666,48.84292
2022-1664659,2022-01-21,000001,Vente,560000,14,,RUE DOMAT,2886,75005,75105,Paris 5e Arrondissement,75,,,75105000BQ0117,,,23,,24,,61,,62,,,,4,2,Appartement,40,2,,,,,,2.34708,48.851077
2022-1664660,2022-01-21,000001,Vente,473166,30,,RUE DE POISSY,7566,75005,75105,Paris 5e Arrondissement,75,,,75105000AC0028,,,401,,402,42.3,,,,,,,2,4,Local industriel. commercial ou assimilé,72,0,,,,,,2.351686,48.84814
2022-1664698,2022-01-06,000001,Vente,907509,5,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BQ0029,,,3,65.39,,,,,,,,,1,2,Appartement,61,2,,,,,,2.346449,48.852003
2022-1664699,2022-01-21,000001,Vente,857142.9,22,,RUE LINNE,5696,75005,75105,Paris 5e Arrondissement,75,,,75105000AG0027,,,24,,25,,,,,,,,2,2,Appartement,80,4,,,,,,2.354949,48.845454
2022-1664699,2022-01-21,000001,Vente,857142.9,22,,RUE LINNE,5696,75005,75105,Paris 5e Arrondissement,75,,,75105000AG0027,,,24,,25,,,,,,,,2,3,Dépendance,,0,,,,,,2.354949,48.845454
2022-1664712,2022-01-12,000001,Vente,1390000,14,,RUE BROCA,1313,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0118,,,364,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.348187,48.838781
2022-1664712,2022-01-12,000001,Vente,1390000,14,,RUE BROCA,1313,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0118,,,129,,159,,,,,,,,2,3,Dépendance,,0,,,,,,2.348187,48.838781
2022-1664712,2022-01-12,000001,Vente,1390000,14,,RUE BROCA,1313,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0118,,,129,,159,,,,,,,,2,3,Dépendance,,0,,,,,,2.348187,48.838781
2022-1664712,2022-01-12,000001,Vente,1390000,14,,RUE BROCA,1313,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0118,,,129,,159,,,,,,,,2,2,Appartement,84,3,,,,,,2.348187,48.838781
2022-1664721,2022-01-20,000001,Vente,150000,22,,BD DE L HOPITAL,4649,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0060,,,16,13.15,,,,,,,,,1,2,Appartement,14,1,,,,,,2.362449,48.841631
2022-1664744,2022-01-06,000001,Vente,235000,2,,RUE DESCARTES,2724,75005,75105,Paris 5e Arrondissement,75,,,75105000BL0074,,,22,14.59,,,,,,,,,1,2,Appartement,18,1,,,,,,2.348314,48.847173
2022-1664745,2022-01-17,000001,Vente,30000,95,,BD SAINT MICHEL,8705,75005,75105,Paris 5e Arrondissement,75,,,75105000BH0015,,,143,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.340169,48.844431
2022-1664745,2022-01-17,000001,Vente,30000,95,,BD SAINT MICHEL,8705,75005,75105,Paris 5e Arrondissement,75,,,75105000BH0015,,,145,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.340169,48.844431
2022-1664745,2022-01-17,000001,Vente,30000,95,,BD SAINT MICHEL,8705,75005,75105,Paris 5e Arrondissement,75,,,75105000BH0015,,,144,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.340169,48.844431
